# Log10(wave)  Resid
 3.6455000 1.00276
 3.6456000 1.00612
 3.6457000 1.00475
 3.6458000 1.00227
 3.6459000 1.00367
 3.6460000 1.00303
 3.6461000 1.00256
 3.6462000 1.00350
 3.6463000 1.00187
 3.6464000 1.00332
 3.6465000 1.00362
 3.6466000 1.00234
 3.6467000 1.00410
 3.6468000 1.00162
 3.6469000 1.00069
 3.6470000 1.00356
 3.6471000 1.00466
 3.6472000 1.00450
 3.6473000 1.00194
 3.6474000 1.00061
 3.6475000 1.00137
 3.6476000 1.00037
 3.6477000 1.00013
 3.6478000 1.00367
 3.6479000 1.00048
 3.6480000 1.00128
 3.6481000 1.00268
 3.6482000 1.00023
 3.6483000 1.00020
 3.6484000 1.00286
 3.6485000 1.00263
 3.6486000 1.00303
 3.6487000 0.999696
 3.6488000 1.00098
 3.6489000 1.00006
 3.6490000 0.996049
 3.6491000 0.997004
 3.6492000 0.997776
 3.6493000 0.998315
 3.6494000 0.997023
 3.6495000 0.996698
 3.6496000 0.996650
 3.6497000 0.997900
 3.6498000 0.995347
 3.6499000 0.996065
 3.6500000 0.997142
 3.6501000 0.996031
 3.6502000 0.996485
 3.6503000 0.998436
 3.6504000 0.998686
 3.6505000 0.999030
 3.6506000 1.00068
 3.6507000 1.00062
 3.6508000 0.999962
 3.6509000 1.00231
 3.6510000 1.00181
 3.6511000 0.998403
 3.6512000 1.00184
 3.6513000 1.00352
 3.6514000 1.00267
 3.6515000 1.00161
 3.6516000 0.999953
 3.6517000 0.999607
 3.6518000 1.00044
 3.6519000 0.999320
 3.6520000 0.998076
 3.6521000 0.997498
 3.6522000 0.994557
 3.6523000 0.996450
 3.6524000 0.998540
 3.6525000 0.997966
 3.6526000 0.999582
 3.6527000 1.00008
 3.6528000 0.999930
 3.6529000 1.00061
 3.6530000 1.00288
 3.6531000 1.00388
 3.6532000 1.00197
 3.6533000 1.00178
 3.6534000 1.00663
 3.6535000 1.00532
 3.6536000 1.00637
 3.6537000 1.00782
 3.6538000 1.00654
 3.6539000 1.00825
 3.6540000 1.00951
 3.6541000 1.01110
 3.6542000 1.00776
 3.6543000 1.00791
 3.6544000 1.00777
 3.6545000 1.00565
 3.6546000 1.00605
 3.6547000 1.00718
 3.6548000 1.00638
 3.6549000 1.00447
 3.6550000 1.00439
 3.6551000 1.00320
 3.6552000 1.00241
 3.6553000 1.00152
 3.6554000 1.00179
 3.6555000 1.00329
 3.6556000 1.00379
 3.6557000 1.00285
 3.6558000 1.00487
 3.6559000 1.00211
 3.6560000 1.00112
 3.6561000 1.00181
 3.6562000 1.00235
 3.6563000 1.00369
 3.6564000 1.00421
 3.6565000 1.00307
 3.6566000 1.00271
 3.6567000 1.00392
 3.6568000 1.00382
 3.6569000 1.00321
 3.6570000 1.00550
 3.6571000 1.00475
 3.6572000 1.00553
 3.6573000 1.00347
 3.6574000 1.00255
 3.6575000 1.00272
 3.6576000 1.00061
 3.6577000 0.999801
 3.6578000 0.999754
 3.6579000 1.00058
 3.6580000 0.998780
 3.6581000 0.999973
 3.6582000 0.999882
 3.6583000 1.00067
 3.6584000 0.997622
 3.6585000 0.997202
 3.6586000 0.999755
 3.6587000 1.00118
 3.6588000 1.00042
 3.6589000 1.00122
 3.6590000 1.00148
 3.6591000 1.00201
 3.6592000 1.00343
 3.6593000 1.00482
 3.6594000 1.00501
 3.6595000 1.00613
 3.6596000 1.00662
 3.6597000 1.00585
 3.6598000 1.00852
 3.6599000 1.00765
 3.6600000 1.00815
 3.6601000 1.00723
 3.6602000 1.00308
